flag_type,language,dataset,synthetic,endpoint_bool,endfiller,n,note
zero_support_cell,eng,chirp3_1,False,False,False,0,
zero_support_cell,eng,chirp3_1,False,False,True,0,
zero_support_cell,eng,chirp3_3_short,True,True,True,0,
zero_support_cell,eng,chirp3_3_short,False,True,unknown,0,
zero_support_cell,eng,chirp3_3_short,True,False,unknown,0,
zero_support_cell,eng,chirp3_3_short,True,True,unknown,0,
zero_support_cell,eng,chirp3_3_short,False,False,unknown,0,
zero_support_cell,eng,chirp3_3_short,False,True,True,0,
zero_support_cell,eng,chirp3_3_short,False,True,False,0,
zero_support_cell,eng,chirp3_3_short,False,False,False,0,
zero_support_cell,eng,chirp3_3_short,False,False,True,0,
zero_support_cell,eng,human_5,True,False,True,0,
zero_support_cell,eng,human_5,True,True,True,0,
zero_support_cell,eng,human_5,True,True,unknown,0,
zero_support_cell,eng,human_5,True,False,unknown,0,
zero_support_cell,eng,human_5,False,True,False,0,
zero_support_cell,eng,human_5,True,False,False,0,
zero_support_cell,eng,human_5,False,False,False,0,
zero_support_cell,eng,human_5,True,True,False,0,
zero_support_cell,eng,human_5,False,False,True,0,
zero_support_cell,eng,human_5,False,True,True,0,
zero_support_cell,eng,human_convcollector_1,True,False,True,0,
zero_support_cell,eng,human_convcollector_1,True,True,True,0,
zero_support_cell,eng,human_convcollector_1,True,True,unknown,0,
zero_support_cell,eng,human_convcollector_1,True,False,unknown,0,
zero_support_cell,eng,human_convcollector_1,False,True,False,0,
zero_support_cell,eng,human_convcollector_1,True,False,False,0,
zero_support_cell,eng,human_convcollector_1,False,False,False,0,
zero_support_cell,eng,human_convcollector_1,True,True,False,0,
zero_support_cell,eng,human_convcollector_1,False,False,True,0,
zero_support_cell,eng,human_convcollector_1,False,True,True,0,
zero_support_cell,eng,liva_1,True,False,True,0,
zero_support_cell,eng,liva_1,True,True,True,0,
zero_support_cell,eng,liva_1,True,True,unknown,0,
zero_support_cell,eng,liva_1,True,False,unknown,0,
zero_support_cell,eng,liva_1,False,True,False,0,
zero_support_cell,eng,liva_1,True,False,False,0,
zero_support_cell,eng,liva_1,False,False,False,0,
zero_support_cell,eng,liva_1,True,True,False,0,
zero_support_cell,eng,liva_1,False,False,True,0,
zero_support_cell,eng,liva_1,False,True,True,0,
zero_support_cell,eng,midcentury_1,True,False,True,0,
zero_support_cell,eng,midcentury_1,True,True,True,0,
zero_support_cell,eng,midcentury_1,True,True,unknown,0,
zero_support_cell,eng,midcentury_1,True,False,unknown,0,
zero_support_cell,eng,midcentury_1,False,True,False,0,
zero_support_cell,eng,midcentury_1,True,False,False,0,
zero_support_cell,eng,midcentury_1,False,False,False,0,
zero_support_cell,eng,midcentury_1,True,True,False,0,
zero_support_cell,eng,midcentury_1,False,False,True,0,
zero_support_cell,eng,midcentury_1,False,True,True,0,
zero_support_cell,eng,orpheus_endfiller_1,True,False,True,0,
zero_support_cell,eng,orpheus_endfiller_1,True,True,True,0,
zero_support_cell,eng,orpheus_endfiller_1,False,True,unknown,0,
zero_support_cell,eng,orpheus_endfiller_1,False,False,unknown,0,
zero_support_cell,eng,orpheus_endfiller_1,False,True,False,0,
zero_support_cell,eng,orpheus_endfiller_1,True,False,False,0,
zero_support_cell,eng,orpheus_endfiller_1,False,False,False,0,
zero_support_cell,eng,orpheus_endfiller_1,True,True,False,0,
zero_support_cell,eng,orpheus_endfiller_1,False,False,True,0,
zero_support_cell,eng,orpheus_endfiller_1,False,True,True,0,
zero_support_cell,eng,orpheus_grammar_1,True,False,True,0,
zero_support_cell,eng,orpheus_grammar_1,True,True,True,0,
zero_support_cell,eng,orpheus_grammar_1,False,True,unknown,0,
zero_support_cell,eng,orpheus_grammar_1,False,False,unknown,0,
zero_support_cell,eng,orpheus_grammar_1,False,True,False,0,
zero_support_cell,eng,orpheus_grammar_1,True,False,False,0,
zero_support_cell,eng,orpheus_grammar_1,False,False,False,0,
zero_support_cell,eng,orpheus_grammar_1,True,True,False,0,
zero_support_cell,eng,orpheus_grammar_1,False,False,True,0,
zero_support_cell,eng,orpheus_grammar_1,False,True,True,0,
zero_support_cell,eng,orpheus_midfiller_1,True,False,True,0,
zero_support_cell,eng,orpheus_midfiller_1,True,True,True,0,
zero_support_cell,eng,orpheus_midfiller_1,False,True,unknown,0,
zero_support_cell,eng,orpheus_midfiller_1,False,False,unknown,0,
zero_support_cell,eng,orpheus_midfiller_1,False,True,False,0,
zero_support_cell,eng,orpheus_midfiller_1,True,False,False,0,
zero_support_cell,eng,orpheus_midfiller_1,False,False,False,0,
zero_support_cell,eng,orpheus_midfiller_1,True,True,False,0,
zero_support_cell,eng,orpheus_midfiller_1,False,False,True,0,
zero_support_cell,eng,orpheus_midfiller_1,False,True,True,0,
zero_support_cell,eng,rime_2,True,False,True,0,
zero_support_cell,eng,rime_2,True,True,True,0,
zero_support_cell,eng,rime_2,False,True,unknown,0,
zero_support_cell,eng,rime_2,False,False,unknown,0,
zero_support_cell,eng,rime_2,False,True,False,0,
zero_support_cell,eng,rime_2,True,False,False,0,
zero_support_cell,eng,rime_2,False,False,False,0,
zero_support_cell,eng,rime_2,True,True,False,0,
zero_support_cell,eng,rime_2,False,False,True,0,
zero_support_cell,eng,rime_2,False,True,True,0,
zero_support_cell,fin,chirp3_2,True,True,True,0,
zero_support_cell,fin,chirp3_2,False,True,unknown,0,
zero_support_cell,fin,chirp3_2,True,False,unknown,0,
zero_support_cell,fin,chirp3_2,True,True,unknown,0,
zero_support_cell,fin,chirp3_2,False,False,unknown,0,
zero_support_cell,fin,chirp3_2,False,True,True,0,
zero_support_cell,fin,chirp3_2,False,True,False,0,
zero_support_cell,fin,chirp3_2,False,False,False,0,
zero_support_cell,fin,chirp3_2,False,False,True,0,
zero_support_cell,fra,chirp3_1,True,True,True,0,
zero_support_cell,fra,chirp3_1,False,True,unknown,0,
zero_support_cell,fra,chirp3_1,True,False,unknown,0,
zero_support_cell,fra,chirp3_1,True,True,unknown,0,
zero_support_cell,fra,chirp3_1,False,False,unknown,0,
zero_support_cell,fra,chirp3_1,False,True,True,0,
zero_support_cell,fra,chirp3_1,False,True,False,0,
zero_support_cell,fra,chirp3_1,False,False,False,0,
zero_support_cell,fra,chirp3_1,False,False,True,0,
zero_support_cell,hin,chirp3_1,True,True,True,0,
zero_support_cell,hin,chirp3_1,False,True,unknown,0,
zero_support_cell,hin,chirp3_1,True,False,unknown,0,
zero_support_cell,hin,chirp3_1,True,True,unknown,0,
zero_support_cell,hin,chirp3_1,False,False,unknown,0,
zero_support_cell,hin,chirp3_1,False,True,True,0,
zero_support_cell,hin,chirp3_1,False,True,False,0,
zero_support_cell,hin,chirp3_1,False,False,False,0,
zero_support_cell,hin,chirp3_1,False,False,True,0,
zero_support_cell,ind,chirp3_2,True,True,True,0,
zero_support_cell,ind,chirp3_2,False,True,unknown,0,
zero_support_cell,ind,chirp3_2,True,False,unknown,0,
zero_support_cell,ind,chirp3_2,True,True,unknown,0,
zero_support_cell,ind,chirp3_2,False,False,unknown,0,
zero_support_cell,ind,chirp3_2,False,True,True,0,
zero_support_cell,ind,chirp3_2,False,True,False,0,
zero_support_cell,ind,chirp3_2,False,False,False,0,
zero_support_cell,ind,chirp3_2,False,False,True,0,
zero_support_cell,ita,chirp3_1,True,True,True,0,
zero_support_cell,ita,chirp3_1,False,True,unknown,0,
zero_support_cell,ita,chirp3_1,True,False,unknown,0,
zero_support_cell,ita,chirp3_1,True,True,unknown,0,
zero_support_cell,ita,chirp3_1,False,False,unknown,0,
zero_support_cell,ita,chirp3_1,False,True,True,0,
zero_support_cell,ita,chirp3_1,False,True,False,0,
zero_support_cell,ita,chirp3_1,False,False,False,0,
zero_support_cell,ita,chirp3_1,False,False,True,0,
zero_support_cell,jpn,chirp3_1,True,True,True,0,
zero_support_cell,jpn,chirp3_1,False,True,unknown,0,
zero_support_cell,jpn,chirp3_1,True,False,unknown,0,
zero_support_cell,jpn,chirp3_1,True,True,unknown,0,
zero_support_cell,jpn,chirp3_1,False,False,unknown,0,
zero_support_cell,jpn,chirp3_1,False,True,True,0,
zero_support_cell,jpn,chirp3_1,False,True,False,0,
zero_support_cell,jpn,chirp3_1,False,False,False,0,
zero_support_cell,jpn,chirp3_1,False,False,True,0,
zero_support_cell,kor,chirp3_1,True,True,True,0,
zero_support_cell,kor,chirp3_1,False,True,unknown,0,
zero_support_cell,kor,chirp3_1,True,False,unknown,0,
zero_support_cell,kor,chirp3_1,True,True,unknown,0,
zero_support_cell,kor,chirp3_1,False,False,unknown,0,
zero_support_cell,kor,chirp3_1,False,True,True,0,
zero_support_cell,kor,chirp3_1,False,True,False,0,
zero_support_cell,kor,chirp3_1,False,False,False,0,
zero_support_cell,kor,chirp3_1,False,False,True,0,
zero_support_cell,mar,chirp3_2,True,True,True,0,
zero_support_cell,mar,chirp3_2,False,True,unknown,0,
zero_support_cell,mar,chirp3_2,True,False,unknown,0,
zero_support_cell,mar,chirp3_2,True,True,unknown,0,
zero_support_cell,mar,chirp3_2,False,False,unknown,0,
zero_support_cell,mar,chirp3_2,False,True,True,0,
zero_support_cell,mar,chirp3_2,False,True,False,0,
zero_support_cell,mar,chirp3_2,False,False,False,0,
zero_support_cell,mar,chirp3_2,False,False,True,0,
zero_support_cell,nld,chirp3_1,True,True,True,0,
zero_support_cell,nld,chirp3_1,False,True,unknown,0,
zero_support_cell,nld,chirp3_1,True,False,unknown,0,
zero_support_cell,nld,chirp3_1,True,True,unknown,0,
zero_support_cell,nld,chirp3_1,False,False,unknown,0,
zero_support_cell,nld,chirp3_1,False,True,True,0,
zero_support_cell,nld,chirp3_1,False,True,False,0,
zero_support_cell,nld,chirp3_1,False,False,False,0,
zero_support_cell,nld,chirp3_1,False,False,True,0,
zero_support_cell,nor,chirp3_2,True,True,True,0,
zero_support_cell,nor,chirp3_2,False,True,unknown,0,
zero_support_cell,nor,chirp3_2,True,False,unknown,0,
zero_support_cell,nor,chirp3_2,True,True,unknown,0,
zero_support_cell,nor,chirp3_2,False,False,unknown,0,
zero_support_cell,nor,chirp3_2,False,True,True,0,
zero_support_cell,nor,chirp3_2,False,True,False,0,
zero_support_cell,nor,chirp3_2,False,False,False,0,
zero_support_cell,nor,chirp3_2,False,False,True,0,
zero_support_cell,pol,chirp3_1,True,True,True,0,
zero_support_cell,pol,chirp3_1,False,True,unknown,0,
zero_support_cell,pol,chirp3_1,True,False,unknown,0,
zero_support_cell,pol,chirp3_1,True,True,unknown,0,
zero_support_cell,pol,chirp3_1,False,False,unknown,0,
zero_support_cell,pol,chirp3_1,False,True,True,0,
zero_support_cell,pol,chirp3_1,False,True,False,0,
zero_support_cell,pol,chirp3_1,False,False,False,0,
zero_support_cell,pol,chirp3_1,False,False,True,0,
zero_support_cell,por,chirp3_1,True,True,True,0,
zero_support_cell,por,chirp3_1,False,True,unknown,0,
zero_support_cell,por,chirp3_1,True,False,unknown,0,
zero_support_cell,por,chirp3_1,True,True,unknown,0,
zero_support_cell,por,chirp3_1,False,False,unknown,0,
zero_support_cell,por,chirp3_1,False,True,True,0,
zero_support_cell,por,chirp3_1,False,True,False,0,
zero_support_cell,por,chirp3_1,False,False,False,0,
zero_support_cell,por,chirp3_1,False,False,True,0,
zero_support_cell,rus,chirp3_1,True,True,True,0,
zero_support_cell,rus,chirp3_1,False,True,unknown,0,
zero_support_cell,rus,chirp3_1,True,False,unknown,0,
zero_support_cell,rus,chirp3_1,True,True,unknown,0,
zero_support_cell,rus,chirp3_1,False,False,unknown,0,
zero_support_cell,rus,chirp3_1,False,True,True,0,
zero_support_cell,rus,chirp3_1,False,True,False,0,
zero_support_cell,rus,chirp3_1,False,False,False,0,
zero_support_cell,rus,chirp3_1,False,False,True,0,
zero_support_cell,spa,chirp3_1,True,True,True,0,
zero_support_cell,spa,chirp3_1,False,True,unknown,0,
zero_support_cell,spa,chirp3_1,True,False,unknown,0,
zero_support_cell,spa,chirp3_1,True,True,unknown,0,
zero_support_cell,spa,chirp3_1,False,False,unknown,0,
zero_support_cell,spa,chirp3_1,False,True,True,0,
zero_support_cell,spa,chirp3_1,False,True,False,0,
zero_support_cell,spa,chirp3_1,False,False,False,0,
zero_support_cell,spa,chirp3_1,False,False,True,0,
zero_support_cell,spa,mundo_1,True,False,True,0,
zero_support_cell,spa,mundo_1,True,True,True,0,
zero_support_cell,spa,mundo_1,True,True,unknown,0,
zero_support_cell,spa,mundo_1,True,False,unknown,0,
zero_support_cell,spa,mundo_1,False,True,False,0,
zero_support_cell,spa,mundo_1,True,False,False,0,
zero_support_cell,spa,mundo_1,False,False,False,0,
zero_support_cell,spa,mundo_1,True,True,False,0,
zero_support_cell,spa,mundo_1,False,False,True,0,
zero_support_cell,spa,mundo_1,False,True,True,0,
zero_support_cell,tur,chirp3_1,True,True,True,0,
zero_support_cell,tur,chirp3_1,False,True,unknown,0,
zero_support_cell,tur,chirp3_1,True,False,unknown,0,
zero_support_cell,tur,chirp3_1,True,True,unknown,0,
zero_support_cell,tur,chirp3_1,False,False,unknown,0,
zero_support_cell,tur,chirp3_1,False,True,True,0,
zero_support_cell,tur,chirp3_1,False,True,False,0,
zero_support_cell,tur,chirp3_1,False,False,False,0,
zero_support_cell,tur,chirp3_1,False,False,True,0,
zero_support_cell,ukr,chirp3_2,True,True,True,0,
zero_support_cell,ukr,chirp3_2,False,True,unknown,0,
zero_support_cell,ukr,chirp3_2,True,False,unknown,0,
zero_support_cell,ukr,chirp3_2,True,True,unknown,0,
zero_support_cell,ukr,chirp3_2,False,False,unknown,0,
zero_support_cell,ukr,chirp3_2,False,True,True,0,
zero_support_cell,ukr,chirp3_2,False,True,False,0,
zero_support_cell,ukr,chirp3_2,False,False,False,0,
zero_support_cell,ukr,chirp3_2,False,False,True,0,
zero_support_cell,vie,chirp3_2,True,True,True,0,
zero_support_cell,vie,chirp3_2,False,True,unknown,0,
zero_support_cell,vie,chirp3_2,True,False,unknown,0,
zero_support_cell,vie,chirp3_2,True,True,unknown,0,
zero_support_cell,vie,chirp3_2,False,False,unknown,0,
zero_support_cell,vie,chirp3_2,False,True,True,0,
zero_support_cell,vie,chirp3_2,False,True,False,0,
zero_support_cell,vie,chirp3_2,False,False,False,0,
zero_support_cell,vie,chirp3_2,False,False,True,0,
zero_support_cell,zho,chirp3_1,True,True,True,0,
zero_support_cell,zho,chirp3_1,False,True,unknown,0,
zero_support_cell,zho,chirp3_1,True,False,unknown,0,
zero_support_cell,zho,chirp3_1,True,True,unknown,0,
zero_support_cell,zho,chirp3_1,False,False,unknown,0,
zero_support_cell,zho,chirp3_1,False,True,True,0,
zero_support_cell,zho,chirp3_1,False,True,False,0,
zero_support_cell,zho,chirp3_1,False,False,False,0,
zero_support_cell,zho,chirp3_1,False,False,True,0,
perfect_confound_language_dataset,ara,chirp3_2,,,,7396,100.0% of ara rows are dataset=chirp3_2
perfect_confound_language_synthetic,ara,,True,,,7396,100.0% of ara rows are synthetic=True
perfect_confound_language_dataset,ben,chirp3_2,,,,8006,100.0% of ben rows are dataset=chirp3_2
perfect_confound_language_synthetic,ben,,True,,,8006,100.0% of ben rows are synthetic=True
perfect_confound_language_dataset,dan,chirp3_2,,,,6558,100.0% of dan rows are dataset=chirp3_2
perfect_confound_language_synthetic,dan,,True,,,6558,100.0% of dan rows are synthetic=True
perfect_confound_language_dataset,deu,chirp3_1,,,,12058,100.0% of deu rows are dataset=chirp3_1
perfect_confound_language_synthetic,deu,,True,,,12058,100.0% of deu rows are synthetic=True
perfect_confound_language_dataset,fin,chirp3_2,,,,7939,100.0% of fin rows are dataset=chirp3_2
perfect_confound_language_synthetic,fin,,True,,,7939,100.0% of fin rows are synthetic=True
perfect_confound_language_dataset,fra,chirp3_1,,,,11511,100.0% of fra rows are dataset=chirp3_1
perfect_confound_language_synthetic,fra,,True,,,11511,100.0% of fra rows are synthetic=True
perfect_confound_language_dataset,hin,chirp3_1,,,,12006,100.0% of hin rows are dataset=chirp3_1
perfect_confound_language_synthetic,hin,,True,,,12006,100.0% of hin rows are synthetic=True
perfect_confound_language_dataset,ind,chirp3_2,,,,8089,100.0% of ind rows are dataset=chirp3_2
perfect_confound_language_synthetic,ind,,True,,,8089,100.0% of ind rows are synthetic=True
perfect_confound_language_dataset,ita,chirp3_1,,,,7192,100.0% of ita rows are dataset=chirp3_1
perfect_confound_language_synthetic,ita,,True,,,7192,100.0% of ita rows are synthetic=True
perfect_confound_language_dataset,jpn,chirp3_1,,,,7389,100.0% of jpn rows are dataset=chirp3_1
perfect_confound_language_synthetic,jpn,,True,,,7389,100.0% of jpn rows are synthetic=True
perfect_confound_language_dataset,kor,chirp3_1,,,,8164,100.0% of kor rows are dataset=chirp3_1
perfect_confound_language_synthetic,kor,,True,,,8164,100.0% of kor rows are synthetic=True
perfect_confound_language_dataset,mar,chirp3_2,,,,6415,100.0% of mar rows are dataset=chirp3_2
perfect_confound_language_synthetic,mar,,True,,,6415,100.0% of mar rows are synthetic=True
perfect_confound_language_dataset,nld,chirp3_1,,,,12518,100.0% of nld rows are dataset=chirp3_1
perfect_confound_language_synthetic,nld,,True,,,12518,100.0% of nld rows are synthetic=True
perfect_confound_language_dataset,nor,chirp3_2,,,,7972,100.0% of nor rows are dataset=chirp3_2
perfect_confound_language_synthetic,nor,,True,,,7972,100.0% of nor rows are synthetic=True
perfect_confound_language_dataset,pol,chirp3_1,,,,8497,100.0% of pol rows are dataset=chirp3_1
perfect_confound_language_synthetic,pol,,True,,,8497,100.0% of pol rows are synthetic=True
perfect_confound_language_dataset,por,chirp3_1,,,,12792,100.0% of por rows are dataset=chirp3_1
perfect_confound_language_synthetic,por,,True,,,12792,100.0% of por rows are synthetic=True
perfect_confound_language_dataset,rus,chirp3_1,,,,12966,100.0% of rus rows are dataset=chirp3_1
perfect_confound_language_synthetic,rus,,True,,,12966,100.0% of rus rows are synthetic=True
perfect_confound_language_dataset,tur,chirp3_1,,,,8213,100.0% of tur rows are dataset=chirp3_1
perfect_confound_language_synthetic,tur,,True,,,8213,100.0% of tur rows are synthetic=True
perfect_confound_language_dataset,ukr,chirp3_2,,,,7280,100.0% of ukr rows are dataset=chirp3_2
perfect_confound_language_synthetic,ukr,,True,,,7280,100.0% of ukr rows are synthetic=True
perfect_confound_language_dataset,vie,chirp3_2,,,,7991,100.0% of vie rows are dataset=chirp3_2
perfect_confound_language_synthetic,vie,,True,,,7991,100.0% of vie rows are synthetic=True
perfect_confound_language_dataset,zho,chirp3_1,,,,8159,100.0% of zho rows are dataset=chirp3_1
perfect_confound_language_synthetic,zho,,True,,,8159,100.0% of zho rows are synthetic=True
