language,signal,candidate,n_endfiller_true,n_endfiller_false,freq_in_true_group,freq_in_false_group,lift,already_in_lexicon
dan,endfiller_trailing_word,så,118,270,5,0,423.73,False
dan,endfiller_trailing_word,af,118,270,2,4,1.14,False
dan,endfiller_trailing_word,hmm,118,270,2,0,169.49,True
dan,endfiller_trailing_word,som,118,270,2,0,169.49,False
dan,endfiller_trailing_word,mænd,118,270,2,0,169.49,False
dan,endfiller_trailing_word,sømænd,118,270,1,0,84.75,False
dan,endfiller_trailing_word,bar,118,270,1,0,84.75,False
dan,endfiller_trailing_word,acemandate,118,270,1,0,84.75,False
dan,endfiller_trailing_word,vikingetidens,118,270,1,0,84.75,False
dan,endfiller_trailing_word,en,118,270,1,1,2.23,False
dan,midfiller_word_frequency,ligesom,153,235,35,11,4.8,False
dan,midfiller_word_frequency,for,153,235,22,21,1.6,False
dan,midfiller_word_frequency,bruges,153,235,7,2,4.64,False
dan,midfiller_word_frequency,består,153,235,7,1,8.1,False
dan,midfiller_word_frequency,vil,153,235,6,3,2.79,False
dan,midfiller_word_frequency,mange,153,235,6,6,1.47,False
deu,endfiller_trailing_word,also,242,470,34,0,1404.96,False
deu,endfiller_trailing_word,und,242,470,34,6,10.92,False
deu,endfiller_trailing_word,aber,242,470,33,0,1363.64,False
deu,endfiller_trailing_word,weil,242,470,27,0,1115.7,False
deu,endfiller_trailing_word,äh,242,470,7,0,289.26,False
deu,endfiller_trailing_word,ähm,242,470,4,0,165.29,False
deu,endfiller_trailing_word,auch,242,470,4,0,165.29,False
deu,endfiller_trailing_word,hm,242,470,3,0,123.97,True
deu,endfiller_trailing_word,die,242,470,2,0,82.64,False
deu,endfiller_trailing_word,werden,242,470,2,9,0.43,False
deu,endfiller_trailing_word,auf,242,470,2,2,1.9,False
deu,endfiller_trailing_word,lösungen,242,470,1,0,41.32,False
deu,endfiller_trailing_word,eh,242,470,1,0,41.32,False
deu,endfiller_trailing_word,fasnet,242,470,1,0,41.32,False
deu,endfiller_trailing_word,l,242,470,1,0,41.32,False
deu,midfiller_word_frequency,zu,452,260,44,17,1.69,False
deu,midfiller_word_frequency,werden,452,260,32,16,1.3,False
deu,midfiller_word_frequency,es,452,260,29,11,1.7,False
deu,midfiller_word_frequency,war,452,260,27,13,1.34,False
deu,midfiller_word_frequency,einer,452,260,27,12,1.45,False
eng,endfiller_trailing_word,and,276,546,35,1,65.65,True
eng,endfiller_trailing_word,because,276,546,26,0,942.03,True
eng,endfiller_trailing_word,but,276,546,19,0,688.41,True
eng,endfiller_trailing_word,like,276,546,16,0,579.71,True
eng,endfiller_trailing_word,so,276,546,15,0,543.48,True
eng,endfiller_trailing_word,er,276,546,8,0,289.86,True
eng,endfiller_trailing_word,the,276,546,8,3,5.18,False
eng,endfiller_trailing_word,to,276,546,2,0,72.46,False
eng,endfiller_trailing_word,as,276,546,2,1,3.75,False
eng,endfiller_trailing_word,not,276,546,2,0,72.46,False
eng,endfiller_trailing_word,of,276,546,2,3,1.3,False
eng,endfiller_trailing_word,been,276,546,2,0,72.46,False
eng,endfiller_trailing_word,were,276,546,2,0,72.46,False
eng,endfiller_trailing_word,hm,276,546,2,0,72.46,True
eng,endfiller_trailing_word,is,276,546,2,0,72.46,False
eng,midfiller_word_frequency,like,544,278,81,13,3.17,True
eng,midfiller_word_frequency,an,544,278,49,18,1.4,False
eng,midfiller_word_frequency,be,544,278,39,13,1.52,False
eng,midfiller_word_frequency,were,544,278,36,9,2.0,False
eng,midfiller_word_frequency,used,544,278,28,6,2.28,False
eng,midfiller_word_frequency,their,544,278,27,9,1.5,False
eng,midfiller_word_frequency,its,544,278,27,9,1.5,False
fin,endfiller_trailing_word,ja,140,328,17,2,19.59,False
fin,endfiller_trailing_word,mutta,140,328,14,0,1000.0,False
fin,endfiller_trailing_word,siis,140,328,14,0,1000.0,False
fin,endfiller_trailing_word,tuota,140,328,11,1,24.95,False
fin,endfiller_trailing_word,koska,140,328,11,0,785.71,False
fin,endfiller_trailing_word,niin,140,328,10,0,714.29,False
fin,endfiller_trailing_word,kuin,140,328,9,1,20.42,False
fin,endfiller_trailing_word,että,140,328,9,0,642.86,False
fin,endfiller_trailing_word,no,140,328,8,0,571.43,False
fin,endfiller_trailing_word,rinnakkaisia,140,328,1,0,71.43,False
fin,endfiller_trailing_word,muita,140,328,1,0,71.43,False
fin,endfiller_trailing_word,aminohappo,140,328,1,0,71.43,False
fin,endfiller_trailing_word,2009,140,328,1,0,71.43,False
fin,endfiller_trailing_word,tytär,140,328,1,0,71.43,False
fin,endfiller_trailing_word,purkautumaan,140,328,1,0,71.43,False
fin,midfiller_word_frequency,tuota,184,284,32,7,6.23,False
fin,midfiller_word_frequency,että,184,284,32,8,5.48,False
fin,midfiller_word_frequency,niin,184,284,31,18,2.41,False
fin,midfiller_word_frequency,kuin,184,284,30,19,2.21,False
fin,midfiller_word_frequency,siis,184,284,29,9,4.43,False
fin,midfiller_word_frequency,oli,184,284,23,18,1.79,False
fin,midfiller_word_frequency,no,184,284,23,5,6.17,False
fin,midfiller_word_frequency,tai,184,284,11,8,1.88,False
fin,midfiller_word_frequency,paljon,184,284,6,1,6.57,False
fin,midfiller_word_frequency,ensimmäinen,184,284,6,4,1.98,False
fin,midfiller_word_frequency,niinku,184,284,6,1,6.57,False
fin,midfiller_word_frequency,voi,184,284,5,5,1.34,False
fin,midfiller_word_frequency,vuotta,184,284,5,2,3.09,False
fin,midfiller_word_frequency,hyvin,184,284,5,4,1.65,False
fin,midfiller_word_frequency,sen,184,284,5,3,2.15,False
fin,midfiller_word_frequency,muun,184,284,5,2,3.09,False
fin,midfiller_word_frequency,000,184,284,4,3,1.72,False
fra,endfiller_trailing_word,donc,236,444,31,0,1313.56,False
fra,endfiller_trailing_word,et,236,444,25,1,45.03,False
fra,endfiller_trailing_word,mais,236,444,23,0,974.58,False
fra,endfiller_trailing_word,que,236,444,22,0,932.2,False
fra,endfiller_trailing_word,alors,236,444,21,0,889.83,False
fra,endfiller_trailing_word,ben,236,444,6,0,254.24,False
fra,endfiller_trailing_word,de,236,444,4,2,3.68,False
fra,endfiller_trailing_word,régionales,236,444,2,0,84.75,False
fra,endfiller_trailing_word,plus,236,444,2,0,84.75,False
fra,endfiller_trailing_word,pays,236,444,2,1,3.6,False
fra,endfiller_trailing_word,bain,236,444,2,0,84.75,False
fra,endfiller_trailing_word,ou,236,444,2,1,3.6,False
fra,endfiller_trailing_word,бал,236,444,1,0,42.37,False
fra,endfiller_trailing_word,lannée,236,444,1,0,42.37,False
fra,endfiller_trailing_word,danube,236,444,1,0,42.37,False
fra,midfiller_word_frequency,sont,442,238,55,17,1.92,False
fra,midfiller_word_frequency,aux,442,238,25,9,1.61,False
fra,midfiller_word_frequency,ben,442,238,25,3,4.39,False
fra,midfiller_word_frequency,pays,442,238,23,10,1.34,False
hin,endfiller_trailing_word,लेकिन,244,464,53,0,2172.13,False
hin,endfiller_trailing_word,और,244,464,34,2,31.59,False
hin,endfiller_trailing_word,क्योंकि,244,464,34,0,1393.44,False
hin,endfiller_trailing_word,तो,244,464,23,0,942.62,False
hin,endfiller_trailing_word,है,244,464,12,155,0.15,False
hin,endfiller_trailing_word,हैं,244,464,11,55,0.38,False
hin,endfiller_trailing_word,हूँ,244,464,4,0,163.93,False
hin,endfiller_trailing_word,अच्छा,244,464,4,0,163.93,False
hin,endfiller_trailing_word,गया,244,464,3,11,0.52,False
hin,endfiller_trailing_word,में,244,464,3,8,0.71,False
hin,endfiller_trailing_word,आ,244,464,3,0,122.95,False
hin,endfiller_trailing_word,a,244,464,2,0,81.97,False
hin,endfiller_trailing_word,थे,244,464,2,8,0.47,False
hin,endfiller_trailing_word,हुआ,244,464,2,4,0.94,False
hin,endfiller_trailing_word,था,244,464,2,19,0.2,False
hin,midfiller_word_frequency,अच्छा,439,269,66,0,93.98,False
hin,midfiller_word_frequency,कि,439,269,38,15,1.67,False
hin,midfiller_word_frequency,गया,439,269,32,16,1.32,False
hin,midfiller_word_frequency,ही,439,269,30,9,2.15,False
hin,midfiller_word_frequency,हो,439,269,29,7,2.63,False
hin,midfiller_word_frequency,तक,439,269,29,14,1.36,False
hin,midfiller_word_frequency,बाद,439,269,23,11,1.36,False
hin,midfiller_word_frequency,या,439,269,22,8,1.76,False
ind,endfiller_trailing_word,anu,142,336,11,0,774.65,False
ind,endfiller_trailing_word,jadi,142,336,9,1,20.6,False
ind,endfiller_trailing_word,dan,142,336,8,2,9.31,False
ind,endfiller_trailing_word,kan,142,336,8,0,563.38,False
ind,endfiller_trailing_word,karena,142,336,7,0,492.96,False
ind,endfiller_trailing_word,sih,142,336,6,0,422.54,False
ind,endfiller_trailing_word,tapi,142,336,6,0,422.54,False
ind,endfiller_trailing_word,soalnya,142,336,5,0,352.11,False
ind,endfiller_trailing_word,terus,142,336,5,0,352.11,False
ind,endfiller_trailing_word,gitu,142,336,4,0,281.69,False
ind,endfiller_trailing_word,e,142,336,4,0,281.69,False
ind,endfiller_trailing_word,tahun,142,336,4,2,4.65,False
ind,endfiller_trailing_word,ya,142,336,4,0,281.69,False
ind,endfiller_trailing_word,dari,142,336,2,2,2.33,False
ind,endfiller_trailing_word,nah,142,336,2,0,140.85,False
ind,midfiller_word_frequency,di,173,305,58,70,1.39,False
ind,midfiller_word_frequency,anu,173,305,28,11,4.14,False
ind,midfiller_word_frequency,ya,173,305,21,8,4.21,False
ind,midfiller_word_frequency,sebagai,173,305,15,15,1.64,False
ind,midfiller_word_frequency,gitu,173,305,15,4,5.7,False
ind,midfiller_word_frequency,besar,173,305,13,11,1.92,False
ind,midfiller_word_frequency,beberapa,173,305,12,5,3.73,False
ind,midfiller_word_frequency,anda,173,305,11,9,1.97,False
ind,midfiller_word_frequency,merupakan,173,305,10,10,1.62,False
ind,midfiller_word_frequency,akan,173,305,9,9,1.61,False
ind,midfiller_word_frequency,kota,173,305,9,9,1.61,False
ind,midfiller_word_frequency,hanya,173,305,9,9,1.61,False
ita,endfiller_trailing_word,ma,168,256,24,0,1428.57,False
ita,endfiller_trailing_word,perché,168,256,23,0,1369.05,False
ita,endfiller_trailing_word,e,168,256,19,1,28.23,False
ita,endfiller_trailing_word,però,168,256,14,0,833.33,False
ita,endfiller_trailing_word,allora,168,256,12,0,714.29,False
ita,endfiller_trailing_word,della,168,256,3,0,178.57,False
ita,endfiller_trailing_word,eh,168,256,2,0,119.05,False
ita,endfiller_trailing_word,al,168,256,2,1,2.97,False
ita,endfiller_trailing_word,alimentari,168,256,1,0,59.52,False
ita,endfiller_trailing_word,nord,168,256,1,1,1.49,False
ita,endfiller_trailing_word,polinomio,168,256,1,0,59.52,False
ita,endfiller_trailing_word,poseidonia,168,256,1,0,59.52,False
ita,endfiller_trailing_word,nellacqua,168,256,1,0,59.52,False
ita,endfiller_trailing_word,volta,168,256,1,0,59.52,False
ita,endfiller_trailing_word,ἄλλωρα,168,256,1,0,59.52,False
ita,midfiller_word_frequency,per,193,231,43,41,1.46,False
ita,midfiller_word_frequency,le,193,231,38,37,1.43,False
ita,midfiller_word_frequency,con,193,231,28,29,1.34,False
ita,midfiller_word_frequency,dei,193,231,22,20,1.51,False
ita,midfiller_word_frequency,gli,193,231,17,16,1.45,False
ita,midfiller_word_frequency,anche,193,231,16,12,1.8,False
ita,midfiller_word_frequency,al,193,231,15,14,1.46,False
jpn,endfiller_trailing_word,サーバ群のアーキテクチャデビアンのドキュメンテーションによると18のコアサーバと6のファイルシステムサーバからなる24のサーバが存在しているそれで,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,日本的高橋原田氏大蔵氏秋月江上氏酒上氏志賀桜井木津藤政拝佐田是阿智王号末でも,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,長い航海を可能にしたのは樹脂の加工処理が発展したからにほかならない,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,コンピュータプログラムを書くために考案された正確に定義された記号と規則の仕組み,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,イスラム世界においてもガレノスは医学の権威とされその理論を基礎とするイスラム医学が発達した,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,シナイ半島とナイル川谷との間はスエズ湾が大きく湾入して細くくびれた地峡となっておりここがアフリカ大陸とユーラシア大陸の境目とされているそれで,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,皆既日食中に太陽周辺の星を観測するとえーと星からの光は太陽の重力場を通るため屈曲することになりでも,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,当時はオランダナを品種改良して作られたハボタンが観賞用としてあり独特な癖のあることから食用としては利用されませんでしたそれで,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,17世紀には日本の数学者である関孝和が行列式の考え方をその考案しそれとは独立にゴットフリートライプニッツが10年ほど遅れてそれで,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,発生例としては1906年4月のサンフランシスコ地震だから,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,マインクラフトとはから特徴始め方のコツゲームモードや最初にすることがだから,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,古代の蝦夷は農耕も生活の柱としていたが次第に狩猟漁業に特化し鉄などを日本人の交易で得るようになってそれで,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,古代ギリシャの作家プロコピオスはスラブ人は王を持たない民主主義体制で彼らが犠牲を捧げる稲妻の創造主という単一の神を信じるでも,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,最も高い自転車はなんと128万円車が買えちゃうその,168,268,1,0,59.52,False
jpn,endfiller_trailing_word,実装初期の古典暗号はその多くは紙と鉛筆のみで暗号化を行うが多少の道具を用いるその,168,268,1,0,59.52,False
jpn,midfiller_word_frequency,例えば薬物療法や認知行動療法はそのスポーツで良い成績を出すための技術である,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,サイテックのキットを使ったその2wリニアアンプの回路です,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,主に人工知能研究やその計算言語学との関連性を持つ,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,皆既日食中に太陽周辺の星を観測するとえーと星からの光は太陽の重力場を通るため屈曲することになりでも,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,総面積の294はアノ水地域となっている,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,他にもスペインのアタプエルカからは約100万年前のヒト科の化石が発見された,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ハイレゾ対応機器ハイレゾオーディオ対応機器については日本オーディオ協会が定義を発表しています,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,1930年アメリカ合衆国のジョージイーストマンはあの百万ドルの賞金をかけてカラー写真の簡易方法を募集した,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,重力ポテンシャルのエネルギーのうち半分は赤外線で放射され残りは天体内部の温度上昇に寄与する,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,コンパイラ方式言語の例としてはc言語c++アーランハスケルラストゴーフォートランコボルなどを挙げることができる,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,17世紀には日本の数学者である関孝和が行列式の考え方をその考案しそれとは独立にゴットフリートライプニッツが10年ほど遅れてそれで,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ソルベントは糊付けされた紙やシールなどをきれいに剥がすことができる溶解液,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,アシワガンダコには黄色の花の房がありそのベリーサイズの赤い果実を,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ロシアの国土面積は1707万5400kmで世界最大であり地球上の居住地域の8分の1を,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,第一次世界大戦が開始されるとブリヤート兄弟社を設立し負傷病兵の看護や治療救助金を供出するなどしてロシア軍を支援その功績によって聖アンナ勲章を授けられ,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,三ドメイン説においては動物植物菌類原生生物はえーとすべて真核生物という単一のドメインに属する,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,電磁波は波長や発生機構によって呼び名が変わる,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,最も高い自転車はなんと128万円車が買えちゃうその,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,基板のソケットを用いたコイルパックです,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,実装初期の古典暗号はその多くは紙と鉛筆のみで暗号化を行うが多少の道具を用いるその,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,天明4年からは蝦夷地の開拓を始め蝦夷沿岸に幾つかの入植地がその,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ハムベンションはアマチュア無線の潮流を確かめる意味でバロメーターの一つに,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ヤミ金とは具体的には国や都道府県に貸金業の許可を取らずに営業している貸金サービスのことを指します,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,細分は数字で51のように示されたこともあるが多く使われるのはアルファベット小文字を添えた5aのような形でも,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,白洲正子は随筆近江山河抄の中で近江は日本の楽屋裏と,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,列車の本数が少なくなりさらに列車が短くなる,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,テレビ放送にはあの公共放送と民間放送があのーだべ,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,光星は質量の十分の一ほどの水素原子がヘリウム原子に変わるまで主系列星でいる,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,先にも述べましたが武田信玄が用いた家紋は武田菱,182,254,1,0,53.19,False
jpn,midfiller_word_frequency,ではゲーム用語としてのフラグはいつ頃使われ始めたか,182,254,1,0,53.19,False
kor,endfiller_trailing_word,하지만,186,296,36,0,1935.48,False
kor,endfiller_trailing_word,그래서,186,296,25,0,1344.09,False
kor,endfiller_trailing_word,그런데,186,296,24,0,1290.32,False
kor,endfiller_trailing_word,왜냐하면,186,296,21,0,1129.03,False
kor,endfiller_trailing_word,있다,186,296,2,19,0.17,False
kor,endfiller_trailing_word,어,186,296,2,0,107.53,False
kor,endfiller_trailing_word,있지만,186,296,2,0,107.53,False
kor,endfiller_trailing_word,많아졌어,186,296,1,0,53.76,False
kor,endfiller_trailing_word,연산하지만,186,296,1,0,53.76,False
kor,endfiller_trailing_word,가케황귀비,186,296,1,0,53.76,False
kor,endfiller_trailing_word,있,186,296,1,0,53.76,False
kor,endfiller_trailing_word,반죽을,186,296,1,0,53.76,False
kor,endfiller_trailing_word,승계받어,186,296,1,0,53.76,False
kor,endfiller_trailing_word,탄생을,186,296,1,0,53.76,False
kor,endfiller_trailing_word,떨어진,186,296,1,0,53.76,False
kor,midfiller_word_frequency,있다,222,260,14,13,1.55,False
kor,midfiller_word_frequency,그레고리력으로,222,260,10,2,6.4,False
kor,midfiller_word_frequency,날에,222,260,10,2,6.4,False
kor,midfiller_word_frequency,해당한다,222,260,9,0,44.58,False
kor,midfiller_word_frequency,같은,222,260,9,6,2.1,False
kor,midfiller_word_frequency,위해,222,260,9,6,2.1,False
kor,midfiller_word_frequency,있는,222,260,8,6,1.87,False
kor,midfiller_word_frequency,다른,222,260,8,2,5.12,False
kor,midfiller_word_frequency,가장,222,260,7,7,1.41,False
kor,midfiller_word_frequency,또한,222,260,5,2,3.2,False
kor,midfiller_word_frequency,것을,222,260,4,4,1.37,False
kor,midfiller_word_frequency,세계에서,222,260,4,0,19.81,False
kor,midfiller_word_frequency,시스템은,222,260,4,0,19.81,False
kor,midfiller_word_frequency,어떤,222,260,4,3,1.78,False
kor,midfiller_word_frequency,것으로,222,260,4,1,4.54,False
kor,midfiller_word_frequency,시험,222,260,4,0,19.81,False
mar,endfiller_trailing_word,कारण,114,264,12,0,1052.63,False
mar,endfiller_trailing_word,म्हणजे,114,264,12,0,1052.63,False
mar,endfiller_trailing_word,तर,114,264,11,1,24.82,False
mar,endfiller_trailing_word,आणि,114,264,10,0,877.19,False
mar,endfiller_trailing_word,पण,114,264,8,0,701.75,False
mar,endfiller_trailing_word,मग,114,264,8,0,701.75,False
mar,endfiller_trailing_word,अ,114,264,4,0,350.88,False
mar,endfiller_trailing_word,आहे,114,264,3,48,0.14,False
mar,endfiller_trailing_word,काय,114,264,3,0,263.16,False
mar,endfiller_trailing_word,अ‍ॅट,114,264,2,0,175.44,False
mar,endfiller_trailing_word,साठा,114,264,1,0,87.72,False
mar,endfiller_trailing_word,होती,114,264,1,7,0.33,False
mar,endfiller_trailing_word,रक्तस्राव,114,264,1,0,87.72,False
mar,endfiller_trailing_word,ಬಳಿಕ,114,264,1,0,87.72,False
mar,endfiller_trailing_word,महाराष्ट्रात,114,264,1,0,87.72,False
mar,midfiller_word_frequency,तर,128,250,30,12,4.3,False
mar,midfiller_word_frequency,म्हणजे,128,250,30,13,3.98,False
mar,midfiller_word_frequency,काय,128,250,14,8,2.98,False
mar,midfiller_word_frequency,मध्ये,128,250,8,9,1.52,False
mar,midfiller_word_frequency,यांच्या,128,250,7,1,9.74,False
mar,midfiller_word_frequency,अनेक,128,250,6,7,1.45,False
mar,midfiller_word_frequency,राज्य,128,250,5,5,1.67,False
mar,midfiller_word_frequency,साली,128,250,5,5,1.67,False
mar,midfiller_word_frequency,काही,128,250,5,4,2.06,False
mar,midfiller_word_frequency,महिला,128,250,5,1,6.96,False
mar,midfiller_word_frequency,केला,128,250,4,5,1.34,False
mar,midfiller_word_frequency,the,128,250,4,0,26.77,False
mar,midfiller_word_frequency,जातो,128,250,4,4,1.65,False
mar,midfiller_word_frequency,हं,128,250,4,0,26.77,True
mar,midfiller_word_frequency,यांनी,128,250,4,3,2.15,False
mar,midfiller_word_frequency,कमी,128,250,4,4,1.65,False
nld,endfiller_trailing_word,omdat,248,492,39,0,1572.58,False
nld,endfiller_trailing_word,dus,248,492,38,1,71.85,False
nld,endfiller_trailing_word,maar,248,492,31,0,1250.0,False
nld,endfiller_trailing_word,en,248,492,26,2,25.17,False
nld,endfiller_trailing_word,eh,248,492,4,0,161.29,False
nld,endfiller_trailing_word,de,248,492,4,1,7.56,False
nld,endfiller_trailing_word,um,248,492,2,0,80.65,True
nld,endfiller_trailing_word,van,248,492,2,2,1.94,False
nld,endfiller_trailing_word,meer,248,492,2,0,80.65,False
nld,endfiller_trailing_word,oude,248,492,2,0,80.65,False
nld,endfiller_trailing_word,ehm,248,492,2,0,80.65,False
nld,endfiller_trailing_word,perzische,248,492,1,0,40.32,False
nld,endfiller_trailing_word,zwaluwe,248,492,1,0,40.32,False
nld,endfiller_trailing_word,weken,248,492,1,0,40.32,False
nld,endfiller_trailing_word,verzet,248,492,1,0,40.32,False
nld,midfiller_word_frequency,door,479,261,67,27,1.52,False
nld,midfiller_word_frequency,werd,479,261,65,22,1.8,False
nld,midfiller_word_frequency,worden,479,261,29,10,1.73,False
nld,midfiller_word_frequency,eerste,479,261,28,11,1.52,False
nor,endfiller_trailing_word,altså,142,330,17,0,1197.18,False
nor,endfiller_trailing_word,så,142,330,13,0,915.49,False
nor,endfiller_trailing_word,fordi,142,330,12,0,845.07,False
nor,endfiller_trailing_word,vel,142,330,10,0,704.23,False
nor,endfiller_trailing_word,liksom,142,330,8,0,563.38,False
nor,endfiller_trailing_word,men,142,330,7,0,492.96,False
nor,endfiller_trailing_word,og,142,330,7,2,8.0,False
nor,endfiller_trailing_word,i,142,330,6,5,2.77,False
nor,endfiller_trailing_word,fra,142,330,2,0,140.85,False
nor,endfiller_trailing_word,menn,142,330,2,0,140.85,False
nor,endfiller_trailing_word,trening,142,330,1,0,70.42,False
