language,synthetic,endpoint_bool,endfiller_b,duration_bin,n
vie,True,False,True,2-4s,3
vie,True,False,True,10-16s,3
ita,True,False,True,4-6s,3
eng,True,False,unknown,0-2s,3
ita,True,False,False,10-16s,3
deu,True,False,False,2-4s,3
tur,True,False,False,2-4s,3
pol,True,False,True,2-4s,3
nor,True,False,False,10-16s,3
mar,True,False,False,6-10s,3
mar,True,False,False,10-16s,3
kor,True,False,True,10-16s,3
nor,True,False,False,2-4s,3
zho,True,True,False,4-6s,3
dan,True,False,True,10-16s,3
spa,False,False,unknown,6-10s,3
rus,True,True,False,2-4s,3
dan,True,False,False,2-4s,3
por,True,False,True,2-4s,3
ara,True,False,True,16s+,2
ara,True,False,True,2-4s,2
ara,True,False,False,2-4s,2
zho,True,False,False,4-6s,2
dan,True,False,False,4-6s,2
ben,True,True,False,10-16s,2
rus,True,False,True,2-4s,2
spa,True,False,False,2-4s,2
dan,True,False,False,6-10s,2
spa,True,False,False,10-16s,2
deu,True,True,False,2-4s,2
nor,True,False,True,2-4s,2
mar,True,False,True,10-16s,2
nor,True,False,False,6-10s,2
por,True,True,False,2-4s,2
dan,True,True,False,10-16s,2
ita,True,False,False,6-10s,2
jpn,True,False,False,4-6s,2
vie,True,True,False,0-2s,2
eng,True,True,unknown,10-16s,2
fra,True,False,False,10-16s,2
eng,True,False,unknown,2-4s,2
hin,True,False,True,10-16s,2
eng,True,False,True,0-2s,2
ukr,True,False,True,10-16s,2
fin,True,False,False,2-4s,2
hin,True,False,False,2-4s,2
fin,True,False,False,10-16s,2
ben,True,False,False,10-16s,1
ben,True,False,False,2-4s,1
fin,True,False,True,16s+,1
fin,True,False,True,2-4s,1
fin,True,True,False,2-4s,1
fin,True,True,False,16s+,1
jpn,True,True,False,2-4s,1
jpn,True,False,False,10-16s,1
eng,True,False,False,2-4s,1
jpn,True,False,False,2-4s,1
eng,False,False,unknown,0-2s,1
ita,True,False,False,2-4s,1
ita,True,False,True,2-4s,1
ita,True,True,False,2-4s,1
ita,True,False,False,4-6s,1
ind,True,False,True,2-4s,1
hin,True,False,False,10-16s,1
hin,True,True,False,0-2s,1
fra,True,False,True,2-4s,1
eng,True,True,False,0-2s,1
kor,True,False,True,2-4s,1
nor,True,False,True,0-2s,1
por,True,True,False,0-2s,1
por,True,False,False,2-4s,1
dan,True,True,False,16s+,1
deu,True,False,False,10-16s,1
mar,True,False,True,2-4s,1
mar,True,False,False,16s+,1
nld,True,False,True,2-4s,1
rus,True,False,False,2-4s,1
ben,True,False,True,16s+,1
rus,True,False,False,10-16s,1
dan,True,False,True,2-4s,1
tur,True,False,False,10-16s,1
ukr,True,False,False,2-4s,1
ukr,True,False,False,10-16s,1
ara,True,False,False,4-6s,1
ara,True,False,False,0-2s,1
